Identifier Code,Billing Code,Identifier Description,NYU Langone Long Island Gross Charges,NYU Langone Long Island Discounted Cash Price,AETNA HMO
2023696,19120,HC EXC CYST/ABERRANT BREAST TISSUE OPEN 1/> LESIONS,7750.52,1472.6,12254.47
2023358,43235,HC UGI DIAGNOSTIC,3344.09,635.38,4893.13
2023360,43239,HC UGI W BX. SGL/MULTIPLE,1464.39,278.23,6265.39
2023385,45378,HC DIAGNOSTIC COLONOSCOPY,1851.1,351.71,6265.39
2023387,45380,HC COLONOSCOPY AND BIOPSY,2206.1,419.16,6265.39
2023392,45385,HC COLONOSCOPY W/LESION REMOVAL,2625.26,498.8,6265.39
2024935,47562,HC  LAPAROSCOPIC CHOLECYSTECTOMY,10373.24,1970.92,20638.56
2024941,49520,HC  REREPAIR ING HERNIA REDUCE,8143.56,1547.28,8223.26
2023431,55700,HC PROSTATE NEEDLE PUNCH BX,2254.67,428.39,17334.2
2020568,62322,HC NJX INTERLAMINAR LMBR/SAC W/O IMG GDN,7658.41,1455.1,4893.13
2025807,62323,HC NJX INTERLAMINAR LMBR/SAC W/IMG GDN,8509.02,1616.71,4893.13
2020581,64483,HC NJX AA&/STRD TFRM EPI L/S 1,5093.55,967.77,4893.13
2020607,66821,HC AFTER CATARACT LASER SURGERY RT,3432.14,652.11,6265.39
2020608,66821,HC AFTER CATARACT LASER SURGERY LT,3432.14,652.11,6265.39
2020609,66821,HC AFTER CATARACT LASER SURGERY BI,3432.14,652.11,6265.39
2023480,66821,HC AFTER CATARACT LASER SURGERY 1+ STGS,3432.14,652.11,6265.39
2020629,70015,HC CONTRAST X-RAY OF BRAIN,2699.31,512.87,681.98
2022583,70030,HC XR EYE/FOR.BODY,193.99,36.86,142.48
2020630,70100,HC RADEX MNDBL PRTL < 4 VIEWS,347.4,66.01,179.59
2020631,70110,HC RADEX MNDBL COMPL MINIMUM 4 VIEWS,677.25,128.68,191.94
2020632,70130,HC X-RAY EXAM OF MASTOIDS,645.75,122.69,280.48
2020634,70140,HC X-RAY EXAM OF FACIAL BONES,890.4,169.18,136.31
2020635,70150,HC X-RAY EXAM OF FACIAL BONES,781.2,148.43,210.47
2020636,70160,HC X-RAY EXAM OF NASAL BONES,577.5,109.73,179.59
2020637,70200,HC X-RAY EXAM OF EYE SOCKETS,408.26,77.57,210.47
2022869,70210,HC XR SINUS WATERS VIEW,451.73,85.83,144.56
2020638,70220,HC X-RAY EXAM OF SINUSES,753.9,143.24,165.16
2020639,70250,HC X-RAY EXAM OF SKULL,659.3,125.27,163.09
2020640,70260,HC X-RAY EXAM OF SKULL,974.4,185.14,189.87
2020642,70330,HC RADEX TMPRMAND JT OPN&CLSD MOUTH BI,460.24,87.45,253.7
2026107,70355,HC PANORAMIC X-RAY OF JAWS,980.7,186.33,51.92
