As of Date,Line Type,Line ID,Charge Code/Package,Charge Description,DRG,Patient Type,CPT,Modifiers,Rev Code,Gross Charges,Discounted Cash Price,De-Identified Minimum,De-Identified Maximum,Aetna Better Health Medicaid HMO,Aetna Exchange,Aetna GateKeeper,Aetna Medicare,Aetna National Advantage Program (NAP),Aetna Non-GateKeeper,Aetna Signature Administrators (ASA)
1/13/2023,CDM,1,1140505206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,2,1140510120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,3,1140510124,R&B - SEMIPRIVATE - PSYCH,,IP,,  ,124,4289,N/A,675,4289,4289,751,1121,N/A,3173.86,1197,2573.4
1/13/2023,CDM,4,1140510164,R&B PRIVATE ISOLATION,,IP,,  ,164,5281,N/A,1004.83,5281,5281,3055,4560,N/A,3907.94,4638,3168.6
1/13/2023,CDM,5,1140510200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,6,1140510206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,7,1140520110,R&B - PRIVATE,,IP,,  ,110,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,8,1140520119,R&B - PRIVATE - TELEMETRY,,IP,,  ,110,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,9,1140520120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,10,1140520129,R&B - SEMIPRIVATE - TELEMETRY,,IP,,  ,120,3438.5,N/A,859.63,4638,3438.5,3055,4560,N/A,2544.49,4638,2063.1
1/13/2023,CDM,11,1140520164,R&B PRIVATE ISOLATION,,IP,,  ,164,5281,N/A,1004.83,5281,5281,3055,4560,N/A,3907.94,4638,3168.6
1/13/2023,CDM,12,1140520200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,13,1140520206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,14,1140520210,R&B CCU,,IP,,  ,210,8528,N/A,1004.83,8528,8528,4972,7421,N/A,6310.72,7730,5116.8
1/13/2023,CDM,15,1140530110,R&B - PRIVATE,,IP,,  ,110,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,16,1140530119,R&B - PRIVATE - TELEMETRY,,IP,,  ,110,4812.6,N/A,1004.83,4812.6,4812.6,3055,4560,N/A,3561.32,4638,2887.56
1/13/2023,CDM,17,1140530120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,18,1140530129,R&B - SEMIPRIVATE - TELEMETRY,,IP,,  ,120,3438.5,N/A,859.63,4638,3438.5,3055,4560,N/A,2544.49,4638,2063.1
1/13/2023,CDM,19,1140530164,R&B PRIVATE ISOLATION,,IP,,  ,164,5281,N/A,1004.83,5281,5281,3055,4560,N/A,3907.94,4638,3168.6
1/13/2023,CDM,20,1140530200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,21,1140530206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,22,1140535110,R&B - PRIVATE,,IP,,  ,110,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,23,1140535120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,24,1140535164,R&B PRIVATE ISOLATION,,IP,,  ,164,5281,N/A,1004.83,5281,5281,3055,4560,N/A,3907.94,4638,3168.6
1/13/2023,CDM,25,1140535206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,26,1140540129,R&B - SEMIPRIVATE - TELEMETRY,,IP,,  ,120,3438.5,N/A,859.63,4638,3438.5,3055,4560,N/A,2544.49,4638,2063.1
1/13/2023,CDM,27,1140541110,R&B - PRIVATE,,IP,,  ,110,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,28,1140541120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,29,1140541129,R&B - SEMIPRIVATE - TELEMETRY,,IP,,  ,120,3438.5,N/A,859.63,4638,3438.5,3055,4560,N/A,2544.49,4638,2063.1
1/13/2023,CDM,30,1140541164,R&B PRIVATE ISOLATION,,IP,,  ,164,5281,N/A,1004.83,5281,5281,3055,4560,N/A,3907.94,4638,3168.6
1/13/2023,CDM,31,1140541200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,32,1140541206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,33,1140542110,R&B - PRIVATE,,IP,,  ,110,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,34,1140542120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,35,1140542164,R&B PRIVATE ISOLATION,,IP,,  ,164,5281,N/A,1004.83,5281,5281,3055,4560,N/A,3907.94,4638,3168.6
1/13/2023,CDM,36,1140542200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,37,1140542206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,38,1140542210,R&B CCU,,IP,,  ,210,8528,N/A,1004.83,8528,8528,4972,7421,N/A,6310.72,7730,5116.8
1/13/2023,CDM,39,1140560119,R&B - PRIVATE - TELEMETRY,,IP,,  ,110,4812.6,N/A,1004.83,4812.6,4812.6,3055,4560,N/A,3561.32,4638,2887.56
1/13/2023,CDM,40,1140560120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,41,1140560129,R&B - SEMIPRIVATE - TELEMETRY,,IP,,  ,120,3438.5,N/A,859.63,4638,3438.5,3055,4560,N/A,2544.49,4638,2063.1
1/13/2023,CDM,42,1140560200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,43,1140560206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,44,1142505110,R&B - PRIVATE,,IP,,  ,110,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,45,1142505112,R&B - PRIVATE - OB,,IP,,  ,112,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,46,1142510110,R&B - PRIVATE,,IP,,  ,110,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,47,1142510112,R&B - PRIVATE - OB,,IP,,  ,112,3702,N/A,925.5,4638,3702,3055,4560,N/A,2739.48,4638,2221.2
1/13/2023,CDM,48,1142510120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,49,1142510122,R&B - SEMIPRIVATE - OB,,IP,,  ,122,3085,N/A,771.25,4638,3085,3055,4560,N/A,2282.9,4638,1851
1/13/2023,CDM,50,1143000114,R&B - PRIVATE - PSYCH,,IP,,  ,114,6338,N/A,751,6338,6338,751,1121,N/A,4690.12,1197,3802.8
1/13/2023,CDM,51,1143000124,R&B - SEMIPRIVATE - PSYCH,,IP,,  ,124,5281,N/A,675,5281,5281,751,1121,N/A,3907.94,1197,3168.6
1/13/2023,CDM,52,1143005114,R&B - PRIVATE - PSYCH,,IP,,  ,114,4289,N/A,751,4289,4289,751,1121,N/A,3173.86,1197,2573.4
1/13/2023,CDM,53,1143005124,R&B - SEMIPRIVATE - PSYCH,,IP,,  ,124,4289,N/A,675,4289,4289,751,1121,N/A,3173.86,1197,2573.4
1/13/2023,CDM,54,1143750120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,55,1143750164,R&B PRIVATE ISOLATION,,IP,,  ,164,5281,N/A,1004.83,5281,5281,3055,4560,N/A,3907.94,4638,3168.6
1/13/2023,CDM,56,1143750200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,57,1143750206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,58,1143750209,R&B ICU/CCU ISOLATION,,IP,,  ,200,9661,N/A,1004.83,9661,9661,4972,7421,N/A,7149.14,7730,5796.6
1/13/2023,CDM,59,1143750210,R&B CCU,,IP,,  ,210,8528,N/A,1004.83,8528,8528,4972,7421,N/A,6310.72,7730,5116.8
1/13/2023,CDM,60,1143760119,R&B - PRIVATE - TELEMETRY,,IP,,  ,110,4812.6,N/A,1004.83,4812.6,4812.6,3055,4560,N/A,3561.32,4638,2887.56
1/13/2023,CDM,61,1143760120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,62,1143760129,R&B - SEMIPRIVATE - TELEMETRY,,IP,,  ,120,3438.5,N/A,859.63,4638,3438.5,3055,4560,N/A,2544.49,4638,2063.1
1/13/2023,CDM,63,1143760200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,64,1143760206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,65,1143760210,R&B CCU,,IP,,  ,210,8528,N/A,1004.83,8528,8528,4972,7421,N/A,6310.72,7730,5116.8
1/13/2023,CDM,66,1143790172,R&B NB LEVEL II,,IP,,  ,172,6774,N/A,1004.83,6774,6774,2589,3864,N/A,5012.76,4249,4064.4
1/13/2023,CDM,67,1143790173,R&B NB LEVEL III,,IP,,  ,173,8129,N/A,1004.83,8129,8129,4972,7421,N/A,6015.46,7730,4877.4
1/13/2023,CDM,68,1143790174,R&B NB LEVEL IV,,IP,,  ,174,9116,N/A,1004.83,9116,9116,4972,7421,N/A,6745.84,7730,5469.6
1/13/2023,CDM,69,1144510171,R&B NB LEVEL I,,IP,,  ,171,1159,N/A,289.75,3233.32,1159,777,1160,N/A,857.66,1275,695.4
1/13/2023,CDM,70,1144510172,R&B NB LEVEL II,,IP,,  ,172,6774,N/A,1004.83,6774,6774,2589,3864,N/A,5012.76,4249,4064.4
1/13/2023,CDM,71,1144530120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,72,1150150120,R&B - SEMIPRIVATE,,IP,,  ,120,2645,N/A,661.25,4638,2645,3055,4560,N/A,1957.3,4638,1587
1/13/2023,CDM,73,1150150124,R&B - SEMIPRIVATE - PSYCH,,IP,,  ,124,4289,N/A,675,4289,4289,751,1121,N/A,3173.86,1197,2573.4
1/13/2023,CDM,74,1150150200,R&B ICU,,IP,,  ,200,9545,N/A,1004.83,9545,9545,4972,7421,N/A,7063.3,7730,5727
1/13/2023,CDM,75,1150150206,R&B ICU/INTERMED STEP DOWN,,IP,,  ,206,3824,N/A,956,5877,3824,3755,5604,N/A,2829.76,5877,2294.4
1/13/2023,CDM,76,2500003552,COVID-19 VAC 30MCG/0.3ML BIVAL,,IP,91312,  ,636,0.01,N/A,0.01,4387,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1/13/2023,CDM,77,2500003552,COVID-19 VAC 30MCG/0.3ML BIVAL,,OP,91312,  ,636,0.01,N/A,0.01,18.6,N/A,N/A,N/A,N/A,0.01,N/A,0.01
1/13/2023,CDM,78,2500003553,COVID-19 VAC50MCG/0.5ML BIVALE,,IP,91312,  ,636,0.01,N/A,0.01,4387,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1/13/2023,CDM,79,2500003553,COVID-19 VAC50MCG/0.5ML BIVALE,,OP,91312,  ,636,0.01,N/A,0.01,18.6,N/A,N/A,N/A,N/A,0.01,N/A,0.01
1/13/2023,CDM,80,2500003566,COVID VAC (NOVAVAX) 5MCG/0.5ML,,IP,91304,  ,636,0.01,N/A,0.01,4387,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1/13/2023,CDM,81,2500003566,COVID VAC (NOVAVAX) 5MCG/0.5ML,,OP,91304,  ,636,0.01,N/A,0.01,18.6,N/A,N/A,N/A,N/A,0.01,N/A,0.01
1/13/2023,CDM,82,2600000092,HYDRATION IV INFUSION 1ST HR,,OP,,  ,260,856,N/A,25.68,1680,25.68,222.56,333.84,N/A,633.44,359.52,513.6
1/13/2023,CDM,83,2600000093,THER/PROPH/DIAG INJ SC/IM,,OP,,  ,260,575.6,N/A,17.27,1680,17.27,149.66,224.48,N/A,425.94,241.75,345.36
1/13/2023,CDM,84,3000000001,ROUTINE VENIPUNCTURE,,OP,36415,  ,300,107,10.5,1.47,107,3.21,N/A,N/A,8.4,79.18,N/A,64.2
1/13/2023,CDM,85,3000000002,METABOLIC PANEL TOTAL CA,,OP,80048,  ,300,1118,10.36,4.15,1118,33.54,15.97,23.9,8.29,827.32,23.9,670.8
1/13/2023,CDM,86,3000000004,ELECTROLYTE PANEL,,OP,80051,  ,300,293,8.59,3.44,293,8.79,13.23,19.8,6.87,216.82,19.8,175.8
1/13/2023,CDM,87,3000000005,COMPREHEN METABOLIC PANEL,,OP,80053,  ,300,2220,12.94,5.17,2220,66.6,19.94,29.84,10.35,1642.8,29.84,1332
1/13/2023,CDM,88,3000000007,LIPID PANEL,,OP,80061,  ,300,889,16.4,5.17,889,26.67,21.44,32.08,13.12,657.86,32.08,533.4
1/13/2023,CDM,89,3000000008,RENAL FUNCTION PANEL,,OP,80069,  ,300,583,10.64,4.25,583,17.49,16.38,24.5,8.51,431.42,24.5,349.8
1/13/2023,CDM,90,3000000009,ACUTE HEPATITIS PANEL,,OP,80074,  ,300,16.08,19.7,0.48,64,0.48,16.08,16.08,15.76,11.9,16.08,9.65
1/13/2023,CDM,91,3000000010,HEPATIC FUNCTION PANEL,,OP,80076,  ,300,780,10.01,4.01,780,23.4,15.42,23.07,8.01,577.2,23.07,468
1/13/2023,CDM,92,3000000011,AMIKACIN,,OP,80150,  ,301,98,18.47,2.94,98,2.94,28.43,42.54,14.78,72.52,42.54,58.8
1/13/2023,CDM,93,3000000013,CARBAMAZEPINE; TOTAL,,OP,80156,  ,301,533,17.85,6.56,533,15.99,27.46,41.09,14.28,394.42,41.09,319.8
1/13/2023,CDM,94,3000000015,CYCLOSPORINE,,OP,80158,  ,301,12.14,14.88,0.36,24.75,0.36,12.14,12.14,11.9,8.98,12.14,7.28
1/13/2023,CDM,95,3000000016,DRUG SCREEN QUANT CLOZAPINE,,OP,80159,  ,301,27.73,24.69,0.83,41.08,0.83,27.73,27.73,19.75,20.52,27.73,16.64
1/13/2023,CDM,96,3000000017,ASSAY OF DIGOXIN TOTAL,,OP,80162,  ,301,274,16.26,6.51,274,8.22,25.04,37.47,13.01,202.76,37.47,164.4
1/13/2023,CDM,97,3000000018,ASSAY DIPROPYLACETIC ACD TOT,,OP,80164,  ,301,180,16.59,5.4,180,5.4,25.56,38.24,13.27,133.2,38.24,108
1/13/2023,CDM,98,3000000021,GENTAMICIN,,OP,80170,  ,301,318,20.06,6.56,318,9.54,30.92,46.26,16.05,235.32,46.26,190.8
1/13/2023,CDM,99,3000000022,DRUG SCREEN QUANT GABAPENTIN,,OP,80171,  ,301,8.15,9.99,0.24,29.02,0.24,8.15,8.15,7.99,6.03,8.15,4.89
1/13/2023,CDM,100,3000000023,HALOPERIDOL ASSAY,,OP,80173,  ,301,13.03,15.96,0.39,26.56,0.39,13.03,13.03,12.77,9.64,13.03,7.82
1/13/2023,CDM,101,3000000025,LIDOCAINE,,OP,80176,  ,301,371,18,6.56,371,11.13,27.7,41.45,14.4,274.54,41.45,222.6
1/13/2023,CDM,102,3000000026,DRUG SCRN QUAN LEVETIRACETAM,,OP,80177,  ,301,10.59,12.97,0.32,21.59,0.32,10.59,10.59,10.38,7.84,10.59,6.35
1/13/2023,CDM,103,3000000027,LITHIUM,,OP,80178,  ,301,184,8.1,3.24,184,5.52,12.47,18.66,6.48,136.16,18.66,110.4
1/13/2023,CDM,104,3000000028,DRUG SCRN QUAN MYCOPHENOLATE,,OP,80180,  ,301,40,22.11,1.2,40,1.2,32.86,40,17.69,29.6,40,24
1/13/2023,CDM,105,3000000030,PHENOBARBITAL,,OP,80184,  ,301,578,18.74,6.56,578,17.34,21.61,32.34,14.99,427.72,32.34,346.8
1/13/2023,CDM,106,3000000031,PHENYTOIN; TOTAL,,OP,80185,  ,301,291,16.23,6.5,291,8.73,25,37.41,12.98,215.34,37.41,174.6
1/13/2023,CDM,107,3000000033,PRIMIDONE,,OP,80188,  ,301,5.77,7.06,0.17,23,0.17,5.77,5.77,5.65,4.27,5.77,3.46
1/13/2023,CDM,108,3000000038,TACROLIMUS,,OP,80197,  ,301,27.5,16.83,0.82,28,0.82,25.88,27.5,13.46,20.35,27.5,16.5
1/13/2023,CDM,109,3000000039,THEOPHYLLINE,,OP,80198,  ,301,272,17.33,6.56,272,8.16,26.69,39.94,13.86,201.28,39.94,163.2
1/13/2023,CDM,110,3000000041,TOBRAMYCIN,,OP,80200,  ,301,461,19.76,6.56,461,13.83,30.4,45.49,15.81,341.14,45.49,276.6
1/13/2023,CDM,111,3000000043,VANCOMYCIN,,OP,80202,  ,301,535,16.59,6.56,535,16.05,25.56,38.24,13.27,395.9,38.24,321
1/13/2023,CDM,112,3000000046,DRUG TEST PRSMV DIR OPT OBS,,OP,80305,  ,301,965,15.44,6.17,965,28.95,20.6,30.83,12.35,714.1,30.83,579
1/13/2023,CDM,113,3000000047,DRUG TEST PRSMV CHEM ANLYZR,,OP,80307,  ,301,883,76.13,26.49,883,26.49,109.9,164.45,60.9,653.42,164.45,529.8
1/13/2023,CDM,114,3000000054,AUTOM URINE DIP W MICRO,,OP,81001,  ,307,945,3.89,1.56,945,28.35,5.98,8.95,3.11,699.3,8.95,567
1/13/2023,CDM,115,3000000056,AUTOM URINALYSIS WO MICRO,,OP,81003,  ,307,835,2.75,1.11,835,25.05,4.24,6.34,2.2,617.9,6.34,501
1/13/2023,CDM,116,3000000057,URINALYSIS - MICRO ONLY,,OP,81015,  ,307,225,3.74,1.5,225,6.75,5.72,8.56,2.99,166.5,8.56,135
1/13/2023,CDM,117,3000000058,URINE PREGNANCY VISUAL COLOR,,OP,81025,  ,307,355,10.55,1.74,355,10.65,11.93,17.86,8.44,262.7,17.86,213
1/13/2023,CDM,118,3000000059,TIMED URINE VOL MEASURE EA,,OP,81050,  ,307,87,4.46,1.74,87,2.61,5.66,8.46,3.57,64.38,8.46,52.2
1/13/2023,CDM,119,3000000060,BCR/ABL1 GENE MINOR BP,,OP,81207,  ,301,194,177.43,5.82,295.24,5.82,194,194,141.94,143.56,194,116.4
1/13/2023,CDM,120,3000000062,RL CYP2C9 GENE COM VARIANTS,,OP,81227,  ,301,108.5,132.91,3.25,234.07,3.25,108.5,108.5,106.33,80.29,108.5,65.1
1/13/2023,CDM,121,3000000063,CYTOGEN M ARRAY COPY NO&SNP,,OP,81229,  ,301,1600,1421,48,2364.54,48,416,624,1136.8,1184,672,960
1/13/2023,CDM,122,3000000064,F2 GENE,,OP,81240,  ,301,27.51,33.7,0.83,87.96,0.83,27.51,27.51,26.96,20.36,27.51,16.51
1/13/2023,CDM,123,3000000071,RL IGH GENE REARRANGE AMP METH,,OP,81261,  ,301,120,147,3.6,265.11,3.6,120,120,117.6,88.8,120,72
1/13/2023,CDM,124,3000000074,KRAS GENE ADDL VARIANTS,,OP,81276,  ,301,125.38,153.59,3.76,258.76,3.76,125.38,125.38,122.87,92.78,125.38,75.23
1/13/2023,CDM,125,3000000076,RL NPM1 GENE,,OP,81310,  ,301,125.38,153.59,3.76,330.09,3.76,125.38,125.38,122.87,92.78,125.38,75.23
1/13/2023,CDM,126,3000000077,NRAS GENE VARIANTS EXON 2&3,,OP,81311,  ,301,125.38,153.59,3.76,396.06,3.76,125.38,125.38,122.87,92.78,125.38,75.23
1/13/2023,CDM,127,3000000082,MOPATH PROCEDURE LEVEL 1,,OP,81400,  ,301,122.18,78.35,3.67,130.37,3.67,31.77,47.65,62.68,90.41,51.32,73.31
1/13/2023,CDM,128,3000000084,MOPATH PROCEDURE LEVEL 4,,OP,81403,  ,301,125.39,153.6,3.76,255.59,3.76,32.6,48.9,122.88,92.79,52.66,75.23
1/13/2023,CDM,129,3000000087,TEST FOR ACETONE/KETONES,,OP,82009,  ,301,140,5.54,2.21,140,4.2,8.52,12.75,4.43,103.6,12.75,84
1/13/2023,CDM,130,3000000088,ACETONE ASSAY,,OP,82010,  ,301,161,10.01,3.13,161,4.83,15.42,23.07,8.01,119.14,23.07,96.6
1/13/2023,CDM,131,3000000092,ASSAY OF ACTH,,OP,82024,  ,301,5.75,7.04,0.17,51.71,0.17,5.75,5.75,5.63,4.25,5.75,3.45
1/13/2023,CDM,132,3000000093,ASSAY OF SERUM ALBUMIN,,OP,82040,  ,300,100,6.06,2.43,100,3,9.34,13.98,4.85,74,13.98,60
1/13/2023,CDM,133,3000000094,ALBUMIN; QUAN,,OP,82042,  ,301,118,9.53,3.13,118,3.54,9.76,14.6,7.62,87.32,14.6,70.8
1/13/2023,CDM,134,3000000095,MICROALBUMIN; URINE QUAN,,OP,82043,  ,301,3.26,3.99,0.1,10,0.1,3.26,3.26,3.19,2.41,3.26,1.96
1/13/2023,CDM,135,3000000097,ALDOSTERONE,,OP,82088,  ,301,4.23,5.19,0.13,62,0.13,4.23,4.23,4.15,3.13,4.23,2.54
